"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1995 <= Year >= 2000""]"																																						
	1999	11	12	16	57	19.5			"TURKEY:  BOLU-DUZCE-KAYNASLI, ADAPAZARI, ZONGULDAK"	40.758	31.161	10	7.2	9	894	3			4948	4	1000	4					894	3			4948	4	1000	4				
	1999	11	24	16	40	21.2			"CHINA:  YUNNAN PROVINCE:  CHENGJIANG"	24.589	102.872	33	4.6		1	1			5	1		1	90	2	90	2	1	1			5	1		1	90	2		
	1999	11	26	4	27	24.7			"IRAN:  GORGAN"	36.92	54.9	33	5.3									1			50	1								1			50	1
	1999	11	26	13	21	15.5	2339		"VANUATU ISLANDS:  PENTECOST"	-16.423	168.214	33	7.5		5	1			100	2		2					10	1			100	2		3		3		
	1999	11	29	4	10	40.9			"CHINA:  NORTHEASTERN:  SANJIANFANG"	40.459	122.889	10	5									1	160	3										1	160	3		
	1999	12	3	17	6	54.7			"TURKEY:  GORESKEN, ERZURUM PROVINCE"	40.358	42.346	19	5.7		1	1			6	1		2			340	3	1	1			6	1		2			340	3
	1999	12	11	18	3	36.4			"PHILIPPINES:  S LUZON:  MANILA, SANTA CRUZ"	15.766	119.74	33	7.3	7	5	1			40	1	1.794	2					5	1			40	1	1.794	2				
	1999	12	21	14	14	57.6			"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA"	-6.845	105.555	56	6.5		5	1			220	3	3.9	2			2800	4	5	1			220	3	3.9	2			2800	4
	1999	12	22	17	36	56.2			"ALGERIA:  NORTHERN:  AIN TEMOUCHENT"	35.321	-1.281	10	5.6	7	24	1			175	3	60.929	4		3		3	24	1			175	3	60.929	4	3000	4		
	2000	1	3	22	34	12.6			"INDIA-BANGLADESH BORDER:  MAHESHKHALI"	22.132	92.771	33	4.6									1												1			100	2
	2000	1	11	23	43	56.4			"CHINA:  LIAONING PROVINCE"	40.498	122.994	10	5.1						30	1		3	3600	4	8800	4					30	1		3	3600	4	8800	4
	2000	1	14	23	37	7.8			"CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY"	25.607	101.063	33	5.9		5	1			2528	4	73.5	4	41000	4			7	1			2528	4	73.5	4	41000	4		
	2000	2	2	22	58	1.5			"IRAN:  BARDASKAN, KASHMAR"	35.288	58.218	33	5.3		1	1			15	1		2	100	2	100	2	1	1			15	1		2	100	2	300	3
	2000	2	7	19	34	57			"SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI"	-26.288	30.888	5	4.5						1	1		1									1	1		1				
	2000	3	28	11	0	22.5			"JAPAN:  VOLCANO ISLANDS"	22.338	143.73	127	7.6																									
	2000	4	5	4	36	58.8	2922		"GREECE:  CRETE"	34.22	25.69	38	5.5																									
	2000	5	4	4	21	16.2	2338		"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,"	-1.105	123.573	26	7.6		46	1			264	3	30	4	10000	4			46	1			264	3	30	4	10000	4		
	2000	5	7	23	10	54.1			"TURKEY:  DOGANYOL, PUTURGE"	38.164	38.777	5	4.1									2									1	1		2			200	3
	2000	5	17	3	25	48.7			"TAIWAN:  TAI-CHUNG COUNTY"	24.223	121.058	10	5.4		3	1			13	1		1					3	1			13	1		1				
	2000	6	4	16	28	26.1			"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO"	-4.721	102.087	33	7.9	6	103	3			2174	4	6	3					103	3			2174	4	6	3				
	2000	6	6	2	41	49.8			"TURKEY:  CERKES, CUBUK, ORTA"	40.693	32.992	10	6	7	2	1			80	2		3					2	1			80	2		3			4600	4
	2000	6	7	21	46	55.9			"CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR"	26.856	97.238	33	6.3									1		2		2								1		2		
	2000	6	7	23	45	26.6			"INDONESIA:  SOUTHERN SUMATERA:  LAHAT"	-4.612	101.905	33	6.7		1	1						2			600	3	1	1						2			600	3
	2000	6	10	18	23	29.3			"TAIWAN:  NAN-TOU"	23.843	121.225	33	6.4		2	1			36	1		1					2	1			36	1		1				
	2000	6	17	15	40	41.7			"ICELAND:  VESTMANNAEYJAR, HELLA"	63.966	-20.487	10	6.5						1	1	20	3	11	1	11	1					1	1	20	3	11	1	19	1
	2000	6	18	14	44	13.3	2341		"AUSTRALIA:  S, COCOS ISLANDS"	-13.802	97.453	10	7.9																									
	2000	6	21	0	51	46.8			"ICELAND:  GRIMSNES, SELFOSS, EYRARBAKKI, STOKKSEYRI"	63.98	-20.758	10	6.5								12	3	12	1	12	1							12	3	12	1		
	2000	7	1	7	1	55.5	2340	5104	"JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA"	34.221	139.131	10	6.1		1	1				3		1					1	1				3		1				
	2000	7	6	19	30	20.3			"NICARAGUA:  MASAYA"	11.884	-85.988	33	5.4		7	1			42	1		3	357	3	1130	4	7	1			42	1		3	357	3	1130	4
	2000	7	12	1	10	42.6			"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT"	-6.675	106.845	33	5.4						6	1		2			225	3					6	1		2			225	3
	2000	7	15	1	30	30.5	3508		"JAPAN:  NEAR S COAST HONSHU:  NII-JIMA"	34.319	139.26	10	6.1						10	1		1			20	1					10	1		1			20	1
	2000	7	16	3	21	45.5			"PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS"	20.253	122.043	33	6.4						6	1		2				3					6	1		2				3
	2000	7	30	12	25	45.5	3509		"JAPAN:  HONSHU:  S"	33.901	139.376	10	6.5						1	1		1									1	1		1				
	2000	8	4	21	13	2.7			"RUSSIA:  SAKHALIN ISLAND, UGLEGORSK, MAKAROV"	48.786	142.246	10	6.8	6					8	1	0.92	1			1390	4					8	1	0.92	1			1390	4
	2000	8	21	13	25	44.5			"CHINA:  YUNNAN PROVINCE:  WUDING"	25.826	102.194	33	4.2		1	1			406	3	43	4					1	1			406	3	43	4				
	2000	9	3	8	36	30			"CALIFORNIA:  NAPA"	38.379	-122.413	10	5	7					41	1	50	4									41	1	50	4				
	2000	10	2	2	25	31.3			"TANZANIA:  NKANSI, RUKWA"	-7.977	30.709	34	6.5						6	1		1	7	1	150	3					6	1		1	7	1	150	3
	2000	10	6	4	30	19.1			"JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI"	35.456	133.134	10	6.7	9					130	3	150	4	104	3	2230	4					130	3	150	4	104	3	2230	4
	2000	10	30	22	39	6.5			"AFGHANISTAN-TAJIKISTAN:  RAKHOR"	37.542	69.582	33	5.1									2												2			800	3
	2000	11	8	6	59	58.8			"PANAMA-COLOMBIA:  JURADO"	7.042	-77.829	17	6.5						2	1		2			86	2					2	1		2			86	2
	2000	11	16	4	54	55.9	2352		"PAPUA NEW GUINEA:  NEW IRELAND, DUKE OF YORK"	-4.001	152.327	17	8		2	1						2		3			2	1						2		3		
	2000	11	16	7	42	16.9			"PAPUA NEW GUINEA:  NEW IRELAND, NEW BRITAIN"	-5.233	153.102	30	7.8									1												1				
	2000	11	17	21	1	56.4			"PAPUA NEW GUINEA:  NEW BRITAIN"	-5.496	151.781	33	7.8																									
	2000	11	25	18	9	11.4			"AZERBAIJAN:  BAKU"	40.245	49.946	50	6.8		31	1			430	3		1					31	1			430	3		1				
	2000	12	6	17	11	6.4			"TURKMENISTAN:  NEBITDAG-TURKMENBASHI"	39.566	54.799	30	7		11	1				2		1					11	1				2		1				
	2000	12	15	16	44	47.6			"TURKEY:  AFYON-BOLVADIN"	38.457	31.351	10	6	7	6	1			41	1		1					6	1			41	1		1				2
